Time,Product name,PID,robotMAC,Store,Start running time,unbound,Operating time (h),Running mileage (km),Number of tasks
2023-02-24,bellabot,Sv1000214017008,20:50:E7:23:83:6A,Parmesan,2023-02-23 22:56:02,false,1.57,1.07,70
2023-02-24,bellabot,sv1000214017022,20:50:E7:02:EB:56,Компот,2023-02-24 09:02:18,false,2.46,1.84,182
2023-02-24,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2023-02-24 08:41:35,false,0.81,0.72,22
2023-02-24,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2023-02-24 07:21:53,false,1.14,1.14,60
2023-02-24,kettybot,PNT102213716170,20:50:E7:02:F3:3E,Neo,2023-02-24 09:04:11,false,1.43,0.64,92
2023-02-24,bellabot,SV1001205116386,D4:12:43:BF:63:8E,Firemakers,2023-02-24 09:07:44,false,2.37,2.17,149
2023-02-24,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,Soft-Stend,2023-02-23 22:17:21,false,2.21,1.05,137
2023-02-24,pudubot,PD9152213661013,20:50:E7:02:D2:28,Санаторий Заполярье,2023-02-24 15:17:46,false,2.20,0.42,1
2023-02-24,bellabot,SV1000211931012,D4:12:43:B0:D5:68,Gastreet_panorama,2023-02-23 23:37:40,false,0.87,0.89,33
2023-02-24,bellabot,SV1000212910001,20:50:E7:23:3D:AA,Soft-servis,2023-02-24 05:03:26,false,1.44,1.22,127
2023-02-23,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2023-02-22 20:20:30,false,4.16,1.39,132
2023-02-23,bellabot,Sv1000214017008,20:50:E7:23:83:6A,Parmesan,2023-02-22 22:24:45,false,2.09,1.83,105
2023-02-23,bellabot,sv1000214017022,20:50:E7:02:EB:56,Компот,2023-02-22 22:54:09,false,1.60,1.12,126
2023-02-23,kettybot,PNT102213716170,20:50:E7:02:F3:3E,Neo,2023-02-23 09:24:10,false,1.10,0.69,91
2023-02-23,bellabot,SV1000214017015,20:50:E7:02:E4:50,Fun Jump,2023-02-23 09:30:46,false,2.99,3.35,94
